year,survey_date,Event,sea_ice_thickness_m,air_temp_2m_c,platelet_thickness_m,total_ice_m
2010,2010-05-25 12:30:00,ATKA00,2.1,-27.5,,
2010,2010-06-10 11:00:00,ATKA04,0.62,-19.6,,
2010,2010-06-10 12:37:00,ATKA08,0.41,,,
2010,2010-06-10 13:37:00,ATKA12,0.58,-15.8,,
2010,2010-06-10 14:16:00,ATKA14,0.32,-15.8,,
2010,2010-07-02 09:45:00,ATKA00,1.95,-37.8,,
2010,2010-08-19 10:48:00,ATKA03,1.37,-26.1,,
2010,2010-08-19 12:57:00,ATKA07,1.22,-24.4,,
2010,2010-08-19 14:33:00,ATKA11,0.98,-26.3,,
2010,2010-08-19 15:47:00,ATKA17,0.61,-26.4,,
2010,2010-08-19 12:36:00,ATKA21,0.7,-30.8,,
2010,2010-08-19 13:30:00,ATKA24,0.73,-30.6,,
2010,2010-09-04 10:04:00,ATKA03,1.38,-22.6,,
2010,2010-09-04 11:25:00,ATKA07,1.38,-22.0,,
2010,2010-09-04 12:42:00,ATKA11,1.11,-20.6,,
2010,2010-09-04 13:53:00,ATKA16,0.79,-22.3,,
2010,2010-09-04 15:00:00,ATKA21,0.75,-22.2,,
2010,2010-09-04 15:59:00,ATKA24,0.83,-22.1,,
2010,2010-09-21 09:33:00,ATKA03,1.46,-24.0,,
2010,2010-09-21 10:37:00,ATKA07,1.58,-21.5,,
2010,2010-09-21 11:23:00,ATKA11,1.3,-20.8,,
2010,2010-09-21 12:12:00,ATKA16,0.93,-20.5,,
2010,2010-09-21 13:17:00,ATKA21,1.03,-20.2,,
2010,2010-09-21 14:30:00,ATKA24,0.96,-18.5,,
2010,2010-10-16 09:45:00,ATKA03,1.7,-16.2,,
2010,2010-10-16 10:50:00,ATKA07,1.67,-14.3,,
2010,2010-10-16 12:05:00,ATKA11,1.47,-12.7,,
2010,2010-10-16 13:05:00,ATKA17,1.11,-10.9,,
2010,2010-10-16 14:25:00,ATKA21,1.05,-10.3,,
2010,2010-10-16 15:35:00,ATKA24,1.1,-10.9,,
2010,2010-11-06 09:50:00,ATKA03,1.69,-11.7,,
2010,2010-11-06 11:00:00,ATKA07,1.76,-10.2,,
2010,2010-11-06 13:40:00,ATKA11,1.57,-8.2,,
2010,2010-11-06 13:40:00,ATKA16,1.19,-7.6,,
2010,2010-11-06 15:00:00,ATKA21,1.1,-6.4,,
2010,2010-11-06 16:35:00,ATKA24,1.25,-7.6,,
2010,2010-11-27 08:30:00,ATKA03,1.5,-8.0,,
2010,2010-11-27 09:15:00,ATKA07,1.78,-7.3,,
2010,2010-11-27 09:55:00,ATKA11,1.64,-6.2,,
2010,2010-11-27 10:45:00,ATKA16,1.16,-6.0,,
2010,2010-11-27 11:25:00,ATKA21,1.15,-6.5,,
2010,2010-11-27 12:05:00,ATKA24,1.3,-6.3,,
2010,2010-12-12 08:55:00,ATKA03,1.72,-3.2,,
2010,2010-12-12 10:10:00,ATKA07,1.81,-2.1,,
2011,2011-06-06 12:00:00,ATKA03,0.85,,,
2011,2011-06-06 13:13:00,ATKA07,0.98,-29.6,,
2011,2011-06-06 13:50:00,ATKA11,0.92,-30.3,,
2011,2011-06-06 14:33:00,ATKA16,0.75,-31.7,,
2011,2011-06-06 15:10:00,ATKA21,0.67,-31.6,,
2011,2011-06-06 15:54:00,ATKA24,0.52,-31.6,,
2011,2011-07-01 12:45:00,ATKA03,1.05,-6.8,,
2011,2011-07-01 13:15:00,ATKA07,1.45,-6.5,,
2011,2011-07-01 13:45:00,ATKA11,1.06,-6.4,,
2011,2011-07-01 14:10:00,ATKA16,1.05,-6.4,,
2011,2011-07-01 14:40:00,ATKA21,0.92,-6.5,,
2011,2011-07-01 15:05:00,ATKA24,0.75,-6.6,,
2011,2011-08-04 00:00:00,ATKA03,1.22,-23.6,,
2011,2011-08-04 00:00:00,ATKA07,1.65,-23.6,,
2011,2011-08-04 00:00:00,ATKA11,1.23,-23.6,,
2011,2011-08-04 00:00:00,ATKA16,1.3,-23.2,,
2011,2011-08-04 00:00:00,ATKA21,1.15,-23.4,,
2011,2011-08-04 00:00:00,ATKA24,0.94,-23.9,,
2011,2011-08-19 00:00:00,ATKA03,1.23,-14.6,,
2011,2011-08-19 00:00:00,ATKA07,1.77,-14.7,,
2011,2011-08-19 00:00:00,ATKA11,0.32,-14.8,,
2011,2011-08-19 00:00:00,ATKA16,1.31,-14.7,,
2011,2011-08-19 00:00:00,ATKA21,1.17,-15.4,,
2011,2011-08-19 00:00:00,ATKA24,0.98,-16.8,,
2011,2011-09-07 00:00:00,ATKA03,1.35,-24.1,,
2011,2011-09-14 00:00:00,ATKA03,1.42,-6.8,,
2011,2011-09-14 00:00:00,ATKA07,1.93,-6.8,,
2011,2011-09-14 00:00:00,ATKA11,1.43,-6.9,,
2011,2011-09-14 00:00:00,ATKA16,1.48,-6.9,,
2011,2011-09-14 00:00:00,ATKA21,1.31,-6.8,,
2011,2011-09-14 00:00:00,ATKA24,1.17,-6.8,,
2011,2011-10-09 00:00:00,ATKA03,1.45,-14.0,,
2011,2011-10-09 00:00:00,ATKA07,2.1,-13.9,,
2011,2011-10-09 00:00:00,ATKA11,1.49,-13.2,,
2011,2011-10-09 00:00:00,ATKA16,1.6,-14.1,,
2011,2011-10-09 00:00:00,ATKA21,1.34,-15.5,,
2011,2011-10-09 00:00:00,ATKA24,1.33,-15.2,,
2011,2011-10-30 00:00:00,ATKA03,1.55,,,
2011,2011-10-30 00:00:00,ATKA07,2.2,-15.5,,
2011,2011-10-30 00:00:00,ATKA11,1.51,-15.7,,
2011,2011-10-30 00:00:00,ATKA16,1.67,-12.9,,
2011,2011-10-30 00:00:00,ATKA21,1.43,-13.2,,
2011,2011-10-30 00:00:00,ATKA24,1.43,-12.2,,
