year,minimum_doy,minimum_date,minimum_value_mkm2
1979,264,1979-09-21,6.895
1980,249,1980-09-05,7.533
1981,253,1981-09-10,6.902
1982,256,1982-09-13,7.16
1983,251,1983-09-08,7.204
1984,260,1984-09-16,6.396
1985,252,1985-09-09,6.486
1986,249,1986-09-06,7.122
1987,245,1987-09-02,6.89
1988,255,1988-09-11,7.048
1989,265,1989-09-22,6.888
1990,264,1990-09-21,6.011
1991,259,1991-09-16,6.259
1992,251,1992-09-07,7.159
1993,256,1993-09-13,6.161
1994,248,1994-09-05,6.934
1995,247,1995-09-04,6.012
1996,254,1996-09-10,7.147
1997,246,1997-09-03,6.602
1998,260,1998-09-17,6.293
1999,255,1999-09-12,5.676
2000,255,2000-09-11,5.943
2001,262,2001-09-19,6.567
2002,261,2002-09-18,5.625
2003,260,2003-09-17,5.969
2004,262,2004-09-18,5.77
2005,263,2005-09-20,5.314
2006,257,2006-09-14,5.746
2007,257,2007-09-14,4.147
2008,262,2008-09-18,4.548
2009,255,2009-09-12,5.047
2010,262,2010-09-19,4.59
2011,251,2011-09-08,4.333
2012,260,2012-09-16,3.34
2013,256,2013-09-13,5.04
2014,259,2014-09-16,4.988
2015,251,2015-09-08,4.387
2016,251,2016-09-07,4.145
2017,256,2017-09-13,4.635
2018,264,2018-09-21,4.63
2019,261,2019-09-18,4.166
2020,257,2020-09-13,3.793
2021,257,2021-09-14,4.757
2022,258,2022-09-15,4.692
2023,260,2023-09-17,4.244
2024,254,2024-09-10,4.245
2025,251,2025-09-08,4.543
